week_start,report_week,side,direction,rank,stock_name,stock_code,value_sgd_m
2023-07-24,24 July 2023,institutional,buy,3,Singtel,Z74,30.59753450000001
2023-07-24,24 July 2023,institutional,buy,4,SIA,C6L,12.849803
2023-07-24,24 July 2023,institutional,buy,5,City Developments,C09,12.152628
2023-07-24,24 July 2023,institutional,buy,6,CapitaLand Integrated Commercial Trust,C38U,11.453723
2023-07-24,24 July 2023,institutional,buy,7,Suntec REIT,T82U,6.458144
2023-07-24,24 July 2023,institutional,buy,8,Seatrium,S51,6.109429900000006
2023-07-24,24 July 2023,institutional,buy,9,SGX,S68,5.242922
2023-07-24,24 July 2023,institutional,buy,10,ComfortDelGro,C52,4.616836
2023-07-24,24 July 2023,institutional,sell,1,UOB,U11,-20.649729
2023-07-24,24 July 2023,institutional,sell,2,Hongkong Land,H78,-19.9898600692
2023-07-24,24 July 2023,institutional,sell,3,CapitaLand Investment,9CI,-17.578421
2023-07-24,24 July 2023,institutional,sell,4,Genting Singapore,G13,-11.9891175
2023-07-24,24 July 2023,institutional,sell,5,Frasers Logistics & Commercial Trust,BUOU,-11.294488
2023-07-24,24 July 2023,institutional,sell,6,Wilmar International,F34,-7.632773
2023-07-24,24 July 2023,institutional,sell,7,Mapletree Logistics Trust,M44U,-4.615659
2023-07-24,24 July 2023,institutional,sell,8,Venture Corporation,V03,-4.601553
2023-07-24,24 July 2023,institutional,sell,9,Mapletree Pan Asia Commercial Trust,N2IU,-4.399569
2023-07-24,24 July 2023,institutional,sell,10,NetLink NBN Trust,CJLU,-3.8700905
2023-07-24,24 July 2023,retail,buy,1,Hongkong Land,H78,11.7539391322
2023-07-24,24 July 2023,retail,buy,2,Keppel REIT,K71U,5.0826825
2023-07-24,24 July 2023,retail,buy,3,Frencken Group,E28,4.479553
2023-07-24,24 July 2023,retail,buy,4,Venture Corporation,V03,4.434666
2023-07-24,24 July 2023,retail,buy,5,NetLink NBN Trust,CJLU,3.998459
2023-07-24,24 July 2023,retail,buy,6,Genting Singapore,G13,3.8755815
2023-07-24,24 July 2023,retail,buy,7,UMS Holdings,558,3.23315
2023-07-24,24 July 2023,retail,buy,8,Nanofilm Technologies International,MZH,3.126077
2023-07-24,24 July 2023,retail,buy,9,CapitaLand Investment,9CI,2.772901
2023-07-24,24 July 2023,retail,buy,10,Sembcorp Industries,U96,2.73904
2023-07-24,24 July 2023,retail,sell,1,OCBC,O39,-121.462015
2023-07-24,24 July 2023,retail,sell,2,DBS,D05,-111.001889
2023-07-24,24 July 2023,retail,sell,3,Singtel,Z74,-35.7658525
2023-07-24,24 July 2023,retail,sell,4,UOB,U11,-34.834685
2023-07-24,24 July 2023,retail,sell,5,Keppel Corporation,BN4,-23.98648
2023-07-24,24 July 2023,retail,sell,6,City Developments,C09,-18.239727
2023-07-24,24 July 2023,retail,sell,7,SGX,S68,-16.359162
2023-07-24,24 July 2023,retail,sell,8,NIO,NIO,-11.16781470523
2023-07-24,24 July 2023,retail,sell,9,CapitaLand Integrated Commercial Trust,C38U,-10.87819
2023-07-24,24 July 2023,retail,sell,10,SIA,C6L,-10.400883
2023-07-31,31 July 2023,institutional,buy,1,UOB,U11,30.306088
2023-07-31,31 July 2023,institutional,buy,2,Yangzijiang Shipbuilding,BS6,30.144641
2023-07-31,31 July 2023,institutional,buy,3,ComfortDelGro,C52,4.932438
2023-07-31,31 July 2023,institutional,buy,4,DBS,D05,4.929026
2023-07-31,31 July 2023,institutional,buy,5,Thai Beverage,Y92,4.80898
2023-07-31,31 July 2023,institutional,buy,6,SGX,S68,4.236238
2023-07-31,31 July 2023,institutional,buy,7,iFast Corporation,AIY,4.176241
2023-07-31,31 July 2023,institutional,buy,8,Golden Agri-Resources,E5H,3.627188
2023-07-31,31 July 2023,institutional,buy,9,Sembcorp Industries,U96,2.769977
2023-07-31,31 July 2023,institutional,buy,10,Raffles Medical Group,BSL,2.294843
2023-07-31,31 July 2023,institutional,sell,1,Singtel,Z74,-66.8342303
2023-07-31,31 July 2023,institutional,sell,2,SIA,C6L,-24.155654
2023-07-31,31 July 2023,institutional,sell,3,OCBC,O39,-23.823013
2023-07-31,31 July 2023,institutional,sell,4,Venture Corporation,V03,-19.39381
2023-07-31,31 July 2023,institutional,sell,5,Genting Singapore,G13,-16.756186
2023-07-31,31 July 2023,institutional,sell,6,Jardine Matheson Holdings,J36,-15.2353556286
2023-07-31,31 July 2023,institutional,sell,7,CapitaLand Ascendas REIT,A17U,-11.628479
2023-07-31,31 July 2023,institutional,sell,8,Mapletree Logistics Trust,M44U,-11.261925
2023-07-31,31 July 2023,institutional,sell,9,Seatrium,S51,-10.1183522
2023-07-31,31 July 2023,institutional,sell,10,Mapletree Pan Asia Commercial Trust,N2IU,-9.906671
2023-07-31,31 July 2023,retail,buy,1,Singtel,Z74,53.6927204
2023-07-31,31 July 2023,retail,buy,2,SIA,C6L,47.396594
2023-07-31,31 July 2023,retail,buy,3,Genting Singapore,G13,17.2836365
2023-07-31,31 July 2023,retail,buy,4,Venture Corporation,V03,16.031687
2023-07-31,31 July 2023,retail,buy,5,OCBC,O39,14.789255
2023-07-31,31 July 2023,retail,buy,6,Jardine Matheson Holdings,J36,12.9559024691
2023-07-31,31 July 2023,retail,buy,7,Keppel Corporation,BN4,11.720309
2023-07-31,31 July 2023,retail,buy,8,Mapletree Pan Asia Commercial Trust,N2IU,9.878504
2023-07-31,31 July 2023,retail,buy,9,AEM Holdings,AWX,9.438332
2023-07-31,31 July 2023,retail,buy,10,CapitaLand Investment,9CI,8.350314
2023-07-31,31 July 2023,retail,sell,1,DBS,D05,-53.688469
2023-07-31,31 July 2023,retail,sell,2,Yangzijiang Shipbuilding,BS6,-17.182965
2023-07-31,31 July 2023,retail,sell,3,UOB,U11,-16.696489
2023-07-31,31 July 2023,retail,sell,4,Sembcorp Industries,U96,-12.746604
2023-07-31,31 July 2023,retail,sell,5,iFast Corporation,AIY,-6.14641
2023-07-31,31 July 2023,retail,sell,6,SGX,S68,-5.70152
2023-07-31,31 July 2023,retail,sell,7,ComfortDelGro,C52,-5.210297
2023-07-31,31 July 2023,retail,sell,8,City Developments,C09,-4.431588
2023-07-31,31 July 2023,retail,sell,9,SATS,S58,-4.37345
2023-07-31,31 July 2023,retail,sell,10,UOL Group,U14,-4.07082
2023-08-07,7 August 2023,institutional,buy,1,DBS,D05,82.169424
2023-08-07,7 August 2023,institutional,buy,2,UOB,U11,55.962625
2023-08-07,7 August 2023,institutional,buy,3,OCBC,O39,25.244992
2023-08-07,7 August 2023,institutional,buy,4,SIA,C6L,17.667127
2023-08-07,7 August 2023,institutional,buy,5,Yangzijiang Shipbuilding,BS6,12.311694
2023-08-07,7 August 2023,institutional,buy,6,CapitaLand Ascendas REIT,A17U,10.292943
2023-08-07,7 August 2023,institutional,buy,7,Jardine Cycle & Carriage,C07,9.736107
